Periode,Anciennete,Montant_Mensuel,Support_Appels,Contrat,Churn
3,6,92.87,1.0,Mensuel,1
19,36,98.26,2.0,1 an,0
16,41,42.9,0.0,2 ans,0
11,53,24.69,2.0,2 ans,0
11,41,52.57,1.0,Mensuel,0
21,14,38.82,3.0,Mensuel,0
3,27,60.1,3.0,2 ans,0
17,32,126.14,4.0,2 ans,1
5,70,38.77,2.0,1 an,1
3,38,52.34,2.0,1 an,0
13,46,97.34,,Mensuel,1
24,53,78.01,2.0,Mensuel,1
18,26,26.2,1.0,Mensuel,1
19,69,39.0,2.0,Mensuel,1
18,48,121.92,1.0,Mensuel,1
19,61,32.69,3.0,1 an,0
13,54,,3.0,Mensuel,1
4,45,100.53,,Mensuel,1
21,3,50.59,5.0,Mensuel,1
11,42,96.53,2.0,Mensuel,1
13,10,38.92,0.0,Mensuel,0
9,43,50.16,3.0,1 an,0
5,50,52.07,0.0,Mensuel,1
23,39,131.09,1.0,Mensuel,1
19,22,44.7,1.0,2 ans,0
16,5,35.07,,Mensuel,1
10,48,116.97,2.0,2 ans,0
20,50,39.18,2.0,2 ans,0
14,34,114.03,3.0,1 an,0
11,51,88.74,1.0,1 an,0
11,56,81.06,1.0,1 an,0
6,37,97.2,1.0,1 an,0
3,4,,4.0,1 an,0
14,62,32.81,,Mensuel,1
22,34,130.9,3.0,2 ans,0
2,48,114.69,1.0,1 an,0
21,65,119.19,1.0,1 an,0
20,26,,2.0,Mensuel,0
7,45,74.16,3.0,Mensuel,0
16,2,78.43,1.0,Mensuel,1
4,63,21.77,2.0,1 an,0
19,5,75.42,1.0,Mensuel,1
17,39,88.11,0.0,Mensuel,1
9,25,,2.0,Mensuel,0
2,3,53.45,1.0,1 an,0
24,33,73.84,,Mensuel,0
11,67,87.27,1.0,2 ans,0
22,12,68.57,3.0,Mensuel,0
17,21,124.3,0.0,Mensuel,1
19,14,97.63,2.0,Mensuel,0
19,9,21.7,2.0,Mensuel,1
5,17,22.72,1.0,1 an,0
9,41,92.13,0.0,1 an,0
12,56,,4.0,2 ans,0
12,50,108.92,2.0,Mensuel,1
2,55,37.46,2.0,1 an,0
14,51,22.59,2.0,Mensuel,1
4,28,59.58,,Mensuel,1
18,64,100.53,2.0,Mensuel,0
17,13,125.32,1.0,Mensuel,1
23,50,,1.0,Mensuel,0
18,8,73.46,,1 an,0
9,55,104.8,2.0,1 an,0
24,7,29.74,,Mensuel,1
10,16,80.25,2.0,1 an,0
8,28,115.85,1.0,Mensuel,1
22,50,,,Mensuel,1
9,4,120.05,0.0,Mensuel,1
2,19,42.25,1.0,1 an,0
12,24,32.03,0.0,2 ans,0
20,52,78.46,0.0,Mensuel,1
5,69,112.65,1.0,1 an,0
12,44,53.57,1.0,1 an,0
4,37,101.32,2.0,2 ans,0
17,24,39.49,,Mensuel,1
12,59,99.08,1.0,1 an,0
8,8,,1.0,1 an,0
6,10,38.32,1.0,2 ans,0
14,15,97.0,3.0,Mensuel,1
17,20,97.73,2.0,2 ans,0
23,33,78.39,2.0,Mensuel,1
11,68,44.4,1.0,2 ans,0
4,47,33.66,1.0,Mensuel,0
20,28,125.29,,Mensuel,0
16,16,91.16,3.0,Mensuel,1
17,47,107.94,1.0,Mensuel,1
3,18,,1.0,Mensuel,1
8,70,106.08,3.0,Mensuel,0
19,34,39.09,,Mensuel,1
20,40,75.45,4.0,Mensuel,1
11,65,90.48,2.0,1 an,0
20,22,32.85,5.0,2 ans,1
21,34,38.04,0.0,Mensuel,1
10,38,86.66,1.0,Mensuel,1
22,20,116.63,2.0,Mensuel,0
7,4,88.29,0.0,2 ans,0
6,21,24.13,,Mensuel,1
17,8,125.19,,Mensuel,1
16,48,36.16,2.0,2 ans,0
4,1,43.82,0.0,2 ans,0
20,23,127.2,1.0,Mensuel,1
5,63,98.79,1.0,1 an,0
20,41,123.05,,Mensuel,0
1,48,100.66,0.0,2 ans,0
20,48,92.21,2.0,Mensuel,0
19,22,,3.0,Mensuel,1
19,45,,4.0,Mensuel,1
16,16,122.21,,Mensuel,0
12,46,111.14,,1 an,0
17,49,59.84,1.0,Mensuel,1
7,63,58.82,2.0,2 ans,0
19,66,53.66,0.0,1 an,0
14,2,55.59,3.0,Mensuel,1
12,22,111.14,0.0,1 an,0
13,39,22.15,0.0,Mensuel,0
14,23,67.2,0.0,Mensuel,1
1,44,114.28,1.0,Mensuel,1
4,61,75.23,0.0,2 ans,0
6,19,66.46,1.0,2 ans,0
3,64,51.68,0.0,2 ans,0
11,63,28.58,3.0,2 ans,0
17,65,,1.0,2 ans,0
16,6,,3.0,Mensuel,1
12,21,34.23,2.0,2 ans,0
21,9,39.51,1.0,Mensuel,1
14,9,53.04,2.0,Mensuel,0
2,4,21.19,0.0,1 an,0
19,32,124.02,2.0,Mensuel,0
14,7,34.21,0.0,Mensuel,1
16,21,,1.0,Mensuel,0
14,70,114.05,2.0,Mensuel,0
14,63,32.39,,Mensuel,0
3,67,68.95,0.0,2 ans,0
14,3,110.38,1.0,1 an,0
20,47,81.95,2.0,Mensuel,1
8,46,42.28,2.0,Mensuel,1
15,10,99.25,,Mensuel,1
1,65,88.13,1.0,Mensuel,0
9,29,58.17,0.0,2 ans,0
11,70,,3.0,Mensuel,0
24,9,22.87,1.0,1 an,0
6,47,104.77,1.0,1 an,0
7,10,,1.0,1 an,0
10,68,,3.0,2 ans,0
24,44,79.04,,Mensuel,1
21,6,121.83,2.0,2 ans,0
1,16,20.85,2.0,1 an,0
6,26,26.17,2.0,2 ans,0
20,1,66.8,2.0,1 an,0
2,1,,0.0,2 ans,0
21,66,73.49,2.0,2 ans,0
7,70,112.62,1.0,Mensuel,1
23,39,26.74,1.0,1 an,0
8,65,55.66,0.0,1 an,0
11,47,57.53,1.0,Mensuel,1
16,2,57.54,2.0,2 ans,0
4,51,69.67,2.0,Mensuel,0
14,2,104.66,2.0,1 an,0
13,58,,1.0,Mensuel,0
19,27,101.84,3.0,Mensuel,0
24,11,,1.0,1 an,0
16,19,81.03,0.0,Mensuel,0
10,49,59.76,4.0,Mensuel,1
10,61,,0.0,Mensuel,1
11,41,32.11,2.0,Mensuel,1
20,12,124.87,0.0,1 an,0
8,64,113.99,1.0,2 ans,0
5,57,104.42,1.0,Mensuel,1
9,30,113.08,1.0,1 an,0
1,40,34.67,2.0,1 an,0
3,69,70.98,5.0,1 an,0
3,27,52.24,1.0,1 an,0
19,2,117.25,3.0,Mensuel,1
18,11,41.82,,Mensuel,0
17,43,,2.0,Mensuel,0
12,71,92.91,2.0,Mensuel,1
18,53,31.03,2.0,Mensuel,1
4,44,94.45,0.0,2 ans,0
22,23,51.09,3.0,1 an,0
13,32,,2.0,Mensuel,0
23,3,,1.0,1 an,0
4,27,82.02,1.0,2 ans,0
12,45,43.24,1.0,Mensuel,1
17,65,26.65,0.0,Mensuel,0
12,66,,0.0,Mensuel,1
11,59,30.14,1.0,1 an,0
4,2,79.0,3.0,Mensuel,1
10,58,,2.0,1 an,0
6,16,45.27,1.0,Mensuel,0
8,44,43.21,0.0,1 an,0
17,68,122.85,1.0,2 ans,0
16,64,33.96,0.0,Mensuel,1
15,48,53.55,1.0,2 ans,0
9,22,69.48,1.0,2 ans,0
24,37,22.05,2.0,1 an,0
3,50,113.07,2.0,Mensuel,0
9,37,30.95,2.0,2 ans,0
3,29,89.01,1.0,Mensuel,1
9,29,85.77,4.0,Mensuel,1
24,43,111.0,3.0,1 an,0
